label,variant,model,candidate,analysis_bins,background_fit_bins,residual_rms,residual_max_abs,fixed_omega_amplitude,fixed_omega_phase,fixed_omega_delta_chi2,phase_offset_from_prediction,locked_signed_amplitude,locked_delta_chi2,locked_local_p_one_sided,positive_sign
H2,log_175_shift0.0,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",145,136,2.629714767483439,16.175886553025972,1.4716663297744006,-0.5594796340089296,156.50143413194303,-0.32808794871571173,1.4313920745509137,139.71798061150082,1.5341057538219285e-32,True
H2,log_175_shift0.0,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",145,145,1.1604028639938864,3.377359230553219,0.14319666210798015,-2.6104262656295396,1.3530479625748626,-2.3790345803363215,-0.095568323249364,0.0,1.0,False
H2,log_175_shift0.0,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",145,145,1.0061110079905073,3.3050766300855323,0.023744308631603896,2.6279346764515843,0.040405274526278845,2.8593263617448024,-0.02333774877198543,0.0,1.0,False
H2,log_175_shift0.0,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",145,140,2.2146153567069913,13.313550920805557,1.195564714546992,-0.16364486446606905,96.45611505462557,0.06774682082714886,1.186298563849916,95.96725945514254,5.839957756219808e-23,True
H2,log_175_shift0.25,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",143,136,2.1471433054649847,13.418893033586015,1.326435417620781,-0.3894864325667818,120.75411509871662,-0.15809474727356387,1.3261178275947403,117.52744647851193,1.1001702776533821e-27,True
H2,log_175_shift0.25,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",143,142,1.1550644100067067,6.121823960690634,0.009161983969820818,-0.8591679260762137,0.0062432324241683546,-0.6277762407829959,0.007833198743290831,0.0041006562469760865,0.4744706349306478,True
H2,log_175_shift0.25,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",143,141,1.1060709666943085,4.397559776768863,0.22342776617989527,-0.9820084922860535,3.7703751662969864,-0.7506168069928356,0.17522567528758637,2.0519678783014115,0.07600479982704093,True
H2,log_175_shift0.25,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",143,138,1.983465977433672,11.897070864495394,1.1860351223987018,-0.20425632638603852,93.62080718368793,0.027135358907179382,1.1830984133337772,93.54418964918943,1.9861602726429082e-22,True
H2,log_175_shift0.5,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",143,134,2.5537922755488593,15.069572784291378,1.2454294533354298,-0.5073826123782395,109.21458830189476,-0.27599092708502154,1.2227542141024224,100.72327123142827,5.2887747157312574e-24,True
H2,log_175_shift0.5,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",143,143,0.9803498294863472,2.8144494478626965,0.11353529503698001,-2.249058735084555,0.889900075874408,-2.0176670497913367,-0.041685355117120945,0.0,1.0,False
H2,log_175_shift0.5,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",143,143,1.006106632394313,2.8223332510233328,0.1644459675005013,-0.6747841320164006,1.9569125630097801,-0.44339244672318273,0.15362831417742498,1.5899886179106772,0.10366388000482221,True
H2,log_175_shift0.5,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",143,139,1.870384323926908,9.290632120954335,1.192837351320418,-0.23231680069978175,95.86760662285889,-0.0009251154065638423,1.1929163648569059,95.86751684766324,6.141717899725048e-23,True
H2,log_175_shift0.75,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",144,132,2.7057556436608414,15.66506949641353,1.561863274482418,-0.5789431093815466,174.9954923742489,-0.3475514240883286,1.5065967450270916,154.02646014561333,1.142658088759096e-35,True
H2,log_175_shift0.75,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",144,143,1.1881370260032698,6.019714362202952,0.04702579354479845,2.5313031927108884,0.1594473387269204,2.7626948780041065,-0.04493680893097543,0.0,1.0,False
H2,log_175_shift0.75,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",144,144,1.0058002388124385,3.0028360140620185,0.011906952929507976,-2.7013851561279294,0.009310723236637841,-2.4699934708347113,-0.008790200928230687,0.0,1.0,False
H2,log_175_shift0.75,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",144,140,2.087705151832917,13.798649106729481,1.141200470137715,-0.1728432533042666,87.66369867660251,0.05854843198895132,1.13446011977842,87.33327609305013,4.5846090795310074e-21,True
H2,log_250_shift0.0,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",204,197,1.8519203298536893,11.156608271857724,1.0992671120733823,-0.3333025282978917,116.45327848745706,-0.10191084300467379,1.1015410931777798,115.12772615824042,3.689422000113707e-27,True
H2,log_250_shift0.0,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",204,204,1.0122400121473594,3.2116341325978213,0.09851535347824707,-2.3580196876160535,0.9431219243058138,-2.1266280023228354,-0.04601209948158127,0.0,1.0,False
H2,log_250_shift0.0,spline_s1,"{'name': 'spline_s1', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 1.0}",204,204,1.0085728113322219,3.4575701761959405,0.08923841898498738,-1.4122814906915557,0.8724381396329761,-1.1808898053983379,0.039807583205163845,0.15035232344868632,0.34909944627854816,True
H2,log_250_shift0.0,spline_s2,"{'name': 'spline_s2', 'family': 'spline', 'degree': 7, 'spline_smoothing_factor': 2.0}",204,199,1.7578838353646011,8.996238933404522,1.1920250881756778,-0.08672999418023822,132.41688449371054,0.1446616911129797,1.167316199713274,129.28720475339458,2.9341070161364774e-30,True
H2,log_250_shift0.25,cheb_d7,"{'name': 'cheb_d7', 'family': 'chebyshev', 'degree': 7, 'spline_smoothing_factor': 1.0}",204,198,1.79937965328054,10.25535656282622,1.1556685317336695,-0.2701533744081506,128.94601868105065,-0.03876168911493272,1.15837744580091,128.73543008954493,3.8744240785973624e-30,True
H2,log_250_shift0.25,cheb_d12,"{'name': 'cheb_d12', 'family': 'chebyshev', 'degree': 12, 'spline_smoothing_factor': 1.0}",204,204,1.0891954841962699,3.1387537342011504,0.09256605343643458,-2.4898461928611733,0.807124967244107,-2.258454507567955,-0.05304128906429706,0.0,1.0,False
