source,target,model,scale,predictive_deviance,amplitude,q,naive_p,naive_se
H1,H2,cheb_d5,1.7830222421873356,760.4536095482192,1.0916126129092216,159.6496613295275,6.747822171971089e-37,0.08639419139877527
H1,H2,cheb_d6,1.787409731178411,694.6396498056008,1.1059729878425697,163.87773446862548,8.043431091464888e-38,0.08639419139877527
H1,H2,cheb_d7,1.8033467411952067,732.3775111695933,1.0405103059708718,145.05198747629575,1.0460807677163995e-33,0.08639419139877527
H1,H2,cheb_d8,1.789699230498943,532.9421042126473,0.6711647899977153,60.351662948933026,3.9668750456163445e-15,0.08639419139877527
H1,H2,cheb_d9,1.7884423641529055,404.9985162874014,0.5189191131623314,36.07698583879321,9.483688789115882e-10,0.08639419139877527
H1,H2,cheb_d10,1.788544334292709,404.86015004360996,0.5088385105793127,34.68892624548227,1.934128734870495e-09,0.08639419139877527
H1,H2,cheb_d11,1.7891136037624584,375.02884191647627,0.3535992093471997,16.7514915281854,2.1304378460357134e-05,0.08639419139877527
H1,H2,cheb_d12,1.791477889794792,344.1425503198135,0.048626078994357315,0.3167885047780852,0.286772029052146,0.08639419139877527
H1,H2,bernstein_d5,1.7830222421873287,760.4536095482183,1.0916126129092232,159.649661329528,6.74782217196935e-37,0.08639419139877527
H1,H2,bernstein_d7,1.8033467411952,732.377511169594,1.0405103059708805,145.05198747629817,1.046080767715157e-33,0.08639419139877527
H1,H2,bernstein_d9,1.7884423641529075,404.99851628740396,0.5189191131623178,36.076985838791316,9.483688789125146e-10,0.08639419139877527
H1,H2,bernstein_d12,1.7914778897947647,344.14255031981486,0.0486260789943536,0.3167885047780368,0.2867720290521606,0.08639419139877527
H1,H2,spline_s0.5,1.8002519139726796,469.2235660219617,0.016259190154331794,0.03541838317179271,0.42536082845125145,0.08639419139877527
H1,H2,spline_s1,1.7883892704592186,410.41175369081407,0.5059131219499444,34.291209168217,2.372601745421362e-09,0.08639419139877527
H1,H2,spline_s2,1.7822441204822546,920.6083892733903,1.1315756832092094,171.55292368909315,1.694225726899866e-39,0.08639419139877527
H1,H2,cheb_d2,1.5957339559469552,3812.8634866040056,1.3327819216921664,237.98473324621455,5.408803504880227e-54,0.08639419139877527
H1,H2,cheb_d3,1.7822441204822683,920.6083892733877,1.1315756832092123,171.55292368909403,1.6942257268991395e-39,0.08639419139877527
H1,H2,cheb_d14,1.7919589104205687,334.58801124558715,0.08464744189108277,0.9599720474722173,0.16359696025482667,0.08639419139877527
H1,H2,cheb_d16,1.7923752568314502,333.04870351839304,0.035905933595388864,0.17272824414445695,0.338849213121306,0.08639419139877527
H1,H2,cheb_d20,1.7930699614149472,323.24524689178315,0.04865370757648245,0.3171485956550516,0.2866631472557255,0.08639419139877527
H1,H2,spline_s0.25,1.8059635538093015,601.2245266876542,0.010428093953045775,0.01456937031973701,0.4519628852459085,0.08639419139877527
H1,H2,spline_s1.5,1.7882717341882142,815.1631075429598,1.0982621452916617,161.60058956628765,2.5288282731893953e-37,0.08639419139877527
H1,H2,spline_s3.0,1.7822441204822546,920.6083892733903,1.1315756832092094,171.55292368909315,1.694225726899866e-39,0.08639419139877527
H1,H2,spline_s4.0,1.7822441204822546,920.6083892733903,1.1315756832092094,171.55292368909315,1.694225726899866e-39,0.08639419139877527
H1,H2,pois_poly2,1.8336412495801142,3651.209111425879,1.7231518730882467,397.81213279136466,8.244779978799586e-89,0.08639419139877527
H1,H2,pois_poly3,1.8336412495801142,915.0996463452178,1.1849152931205305,188.10724420638013,4.115848414452648e-43,0.08639419139877527
H1,H2,pois_poly5,1.8336412495801142,746.7447196415919,1.1053336777822649,163.68832947487675,8.847452872106002e-38,0.08639419139877527
H1,H2,pois_poly7,1.8336412495801142,681.2363194834454,1.0956048568063361,160.81953763044055,3.7459503111531463e-37,0.08639419139877527
H1,H2,pois_poly9,1.8336412495801135,394.45097749352897,0.47271096857385536,29.937964613625628,2.230461157479103e-08,0.08639419139877527
H1,H2,pois_poly12,1.833641249580115,338.3053503014102,0.022036211461442454,0.06505860907690969,0.3993361037798936,0.08639419139877527
H1,H2,pois_poly16,1.8336412495801144,327.79793052331826,0.0033446948381044795,0.001498800783289602,0.48455906675052385,0.08639419139877527
H1,H2,pois_poly20,1.833641249580114,316.2826144606609,0.012445455810679941,0.020751644832248603,0.44272879099926926,0.08639419139877527
H1,H2,pspline_8_0.1,1.8336412495801142,365.0327521291398,0.2102871556131229,5.924564131187416,0.007465615657739451,0.08639419139877527
H1,H2,pspline_8_1,1.833641249580114,373.6201057975068,0.34537822517320016,15.981620672773126,3.198021149399692e-05,0.08639419139877527
H1,H2,pspline_8_10,1.8336412495801142,475.03872249006264,0.7140855107138487,68.31740374774374,6.959355612926377e-17,0.08639419139877527
H1,H2,pspline_8_100,1.8336412495801135,682.2475668275798,1.0511624163174595,148.03709721287464,2.3280475563964604e-34,0.08639419139877527
H1,H2,pspline_16_0.1,1.8336412495801142,318.9895228436179,0.021572467571356748,0.062349153444648205,0.40141040430010944,0.08639419139877527
H1,H2,pspline_16_1,1.8336412495801142,331.4982782197477,0.045682670330723624,0.2795978811482419,0.29848245041160004,0.08639419139877527
H1,H2,pspline_16_10,1.8336412495801142,357.0416290476818,0.20335386543354778,5.540331813772794,0.009291529451283741,0.08639419139877527
H1,H2,pspline_16_100,1.8336412495801142,461.03273337400657,0.6452931777570796,55.78854807125611,4.035013570138677e-14,0.08639419139877527
H1,H2,pspline_24_0.1,1.8336412495801142,324.3850367830571,0.014667465338234478,0.028823124169902903,0.4325940381756218,0.08639419139877527
H1,H2,pspline_24_1,1.8336412495801142,325.9203405554576,0.020252204007303525,0.054950987151968486,0.40733091483447187,0.08639419139877527
H1,H2,pspline_24_10,1.8336412495801142,341.3233569939359,0.08074748205004967,0.8735522541733918,0.17498688404550322,0.08639419139877527
H1,H2,pspline_24_100,1.8336412495801144,391.88363151677,0.37707276262107575,19.049397190174616,6.36890021246449e-06,0.08639419139877527
H1,H2,pspline_40_0.1,1.8336412495801142,354.4043599991826,0.011562527820459322,0.01791168705870983,0.44676670258099904,0.08639419139877527
H1,H2,pspline_40_1,1.8336412495801142,346.2959700790835,0.01530917693221274,0.03140035775771063,0.4296750740819123,0.08639419139877527
H1,H2,pspline_40_10,1.8336412495801135,340.7139015664092,0.030159909662762288,0.12186836489895851,0.3635084328019671,0.08639419139877527
H1,H2,pspline_40_100,1.8336412495801142,354.79791879013453,0.14548311647421822,2.835672705898646,0.04609609351299785,0.08639419139877527
H1,H2,cms_dijet_form,1.8336412495801153,753.695371986273,1.1086960708580431,164.68571450631998,5.35716896504804e-38,0.08639419139877527
H1,H2,local_0.15,1.792558798769795,353.19428742096466,0.15955332949050213,3.410693190433224,0.03238761551261019,0.08639419139877527
H1,H2,local_0.3,1.789921260922175,506.7820188217817,0.707988259898893,67.15572218107337,1.2544302350975596e-16,0.08639419139877527
H1,H2,local_0.5,1.7638403962145843,688.2297303866117,1.021443307185664,139.78463790754518,1.483469801054927e-32,0.08639419139877527
H2,G1,cheb_d5,0.949082243884641,1970.9686579548854,0.8762195608496997,102.86243477195855,1.7962371545741386e-24,0.08639419139877527
H2,G1,cheb_d6,0.9519239935980739,1924.841543963985,0.8649541860482036,100.2344752763012,6.76911762580014e-24,0.08639419139877527
H2,G1,cheb_d7,0.9598650899802442,1982.1122892118942,0.7894758069698727,83.50424682534305,3.1789619532395364e-20,0.08639419139877527
H2,G1,cheb_d8,0.94539874989745,1585.8218416772993,0.4724680615990712,29.90720470970984,2.2661278938625955e-08,0.08639419139877527
H2,G1,cheb_d9,0.9449444298434078,1463.5645907557296,0.1878245221481498,4.726454666538865,0.014851024683782545,0.08639419139877527
H2,G1,cheb_d10,0.9450637489797615,1478.4315381605802,0.17314968966405542,4.016745784114668,0.022525280067602037,0.08639419139877527
H2,G1,cheb_d11,0.9429873664683911,1448.8225430158025,0.03417160012079382,0.15644494778864138,0.3462254420531312,0.08639419139877527
H2,G1,cheb_d12,0.9437200386572088,1436.1301198402166,-0.19605377139954686,0.0,1.0,0.08639419139877527
H2,G1,bernstein_d5,0.9490822438846426,1970.9686579549002,0.8762195608496932,102.86243477195703,1.7962371545754915e-24,0.08639419139877527
H2,G1,bernstein_d7,0.9598650899802517,1982.1122892118774,0.7894758069698743,83.50424682534337,3.1789619532390104e-20,0.08639419139877527
H2,G1,bernstein_d9,0.9449444298434043,1463.5645907557548,0.18782452214813825,4.7264546665382845,0.014851024683787564,0.08639419139877527
H2,G1,bernstein_d12,0.9437200386572187,1436.1301198402912,-0.1960537713995538,0.0,1.0,0.08639419139877527
H2,G1,spline_s0.5,0.9474037834968229,1524.855112225208,-0.1429778194117861,0.0,1.0,0.08639419139877527
H2,G1,spline_s1,0.9442275265209098,1407.8090181239977,-0.15963397403725368,0.0,1.0,0.08639419139877527
H2,G1,spline_s2,0.956063078450272,2147.532539517779,0.8766160162195685,102.95553835515247,1.713774502004373e-24,0.08639419139877527
H2,G1,cheb_d2,0.8261863920473937,6415.09747387187,1.1449283397425651,175.6254791895781,2.185694520681083e-40,0.08639419139877527
H2,G1,cheb_d3,0.956336196139894,2153.6948338053735,0.8782488159815348,103.33942898396572,1.411886139994807e-24,0.08639419139877527
H2,G1,cheb_d14,0.9439604389275292,1436.922954006698,-0.1203841049819136,0.0,1.0,0.08639419139877527
H2,G1,cheb_d16,0.9441355578926619,1421.7450718624955,-0.15863377627343858,0.0,1.0,0.08639419139877527
H2,G1,cheb_d20,0.9444750290962672,1407.0620315398537,-0.14779387313641845,0.0,1.0,0.08639419139877527
H2,G1,spline_s0.25,0.9490031106316442,1545.671719669862,-0.14751201318929283,0.0,1.0,0.08639419139877527
H2,G1,spline_s1.5,0.9537069119650287,1877.2171620682225,0.6796371360636225,61.88495989128855,1.8206003550528584e-15,0.08639419139877527
H2,G1,spline_s3.0,0.957526940078223,2166.3435422975276,0.8741435309758823,102.37558759346807,2.296636320187636e-24,0.08639419139877527
H2,G1,spline_s4.0,0.9563361961398894,2153.694833805296,0.8782488159814683,103.33942898395007,1.4118861400059675e-24,0.08639419139877527
H2,G1,pois_poly2,0.9568582550950308,6297.7706132594785,1.7314008742465392,401.63002888297376,1.2163810405037084e-89,0.08639419139877527
H2,G1,pois_poly3,0.9568582550950306,1911.542189793771,1.0099149074179559,136.64711825915182,7.201832964575054e-32,0.08639419139877527
H2,G1,pois_poly5,0.9568582550950306,1883.7865838187513,0.9237278943354217,114.31916099533947,5.5467793413806454e-27,0.08639419139877527
H2,G1,pois_poly7,0.9568582550950311,1767.2573227935354,0.9088906490339275,110.67618537329511,3.483498228082973e-26,0.08639419139877527
H2,G1,pois_poly9,0.9568582550950309,1439.1576011955146,0.20890296812822898,5.846825503149776,0.007802588326984982,0.08639419139877527
H2,G1,pois_poly12,0.9568582550950311,1431.2524728158044,-0.20283285857910893,0.0,1.0,0.08639419139877527
H2,G1,pois_poly16,0.9568582550950306,1415.7220043327316,-0.16773178993915386,0.0,1.0,0.08639419139877527
H2,G1,pois_poly20,0.9568582550950312,1398.6305286286465,-0.1561856771488151,0.0,1.0,0.08639419139877527
H2,G1,pspline_8_0.1,0.9568582550950311,1447.6776703291239,-0.010442507828200994,0.0,1.0,0.08639419139877527
H2,G1,pspline_8_1,0.9568582550950311,1439.6110642773149,0.06507329048686764,0.5673309114313352,0.22566074733459401,0.08639419139877527
H2,G1,pspline_8_10,0.9568582550950309,1495.2693728825975,0.3721392963905052,18.55418898685469,8.25709554873354e-06,0.08639419139877527
H2,G1,pspline_8_100,0.9568582550950309,1795.1381552295788,0.7981346793867462,85.34602028740558,1.2523279132716253e-20,0.08639419139877527
H2,G1,pspline_16_0.1,0.9568582550950308,1405.8857263221444,-0.153360508943957,0.0,1.0,0.08639419139877527
H2,G1,pspline_16_1,0.9568582550950309,1409.6408315568738,-0.1468588906314218,0.0,1.0,0.08639419139877527
H2,G1,pspline_16_10,0.9568582550950308,1433.597367432854,-0.07148833207802219,0.0,1.0,0.08639419139877527
H2,G1,pspline_16_100,0.9568582550950309,1512.4109193570519,0.2775838019722566,10.323314331366426,0.0006568009024901838,0.08639419139877527
H2,G1,pspline_24_0.1,0.9568582550950309,1397.4225330434251,-0.160652159973709,0.0,1.0,0.08639419139877527
H2,G1,pspline_24_1,0.9568582550950309,1394.8207123931475,-0.1567556295567612,0.0,1.0,0.08639419139877527
H2,G1,pspline_24_10,0.9568582550950308,1413.4790985326126,-0.13194420163023926,0.0,1.0,0.08639419139877527
H2,G1,pspline_24_100,0.9568582550950309,1449.897952291801,0.047727315233741165,0.30518622103237786,0.290324622841503,0.08639419139877527
H2,G1,pspline_40_0.1,0.9568582550950308,1411.0599752894307,-0.15953455406680428,0.0,1.0,0.08639419139877527
H2,G1,pspline_40_1,0.9568582550950309,1405.0012016508952,-0.159585632246956,0.0,1.0,0.08639419139877527
H2,G1,pspline_40_10,0.9568582550950309,1399.5619854926654,-0.15180008681714455,0.0,1.0,0.08639419139877527
H2,G1,pspline_40_100,0.9568582550950306,1421.3160139828424,-0.09493382597306982,0.0,1.0,0.08639419139877527
H2,G1,cms_dijet_form,0.9568582550950309,1867.5437973834319,0.9313304386446576,116.20866337072515,2.1391447446240228e-27,0.08639419139877527
H2,G1,local_0.15,0.944878484582963,1419.2372978139015,-0.043441855918648686,0.0,1.0,0.08639419139877527
H2,G1,local_0.3,0.942723320217684,1558.2362893135873,0.49912891268810394,33.37769692362811,3.7944646079259826e-09,0.08639419139877527
H2,G1,local_0.5,0.9280444584198774,1863.0275302536115,0.8504787558820444,96.9076029403979,3.6319605965165036e-23,0.08639419139877527
G1,G2,cheb_d5,0.967671459429946,793.8609702107556,0.9899476677678547,131.29717599513347,1.0658985598883094e-30,0.08639419139877527
G1,G2,cheb_d6,0.9672016876540961,747.6846007650145,1.0082205386212646,136.1889878003959,9.07076118020541e-32,0.08639419139877527
G1,G2,cheb_d7,0.9666335796401625,823.165984060931,0.9897311396344026,131.23974584156014,1.0971860618178888e-30,0.08639419139877527
G1,G2,cheb_d8,0.9603842446114611,514.8763810391116,0.40612962050446705,22.098370067695736,1.2951479407632217e-06,0.08639419139877527
G1,G2,cheb_d9,0.9578573228672779,429.68372226023627,0.3097192174554459,12.85189646213364,0.00016856869564498646,0.08639419139877527
G1,G2,cheb_d10,0.958823979990514,412.39940776738473,0.29672323568043246,11.795979902080413,0.00029679379971193345,0.08639419139877527
G1,G2,cheb_d11,0.9589769762478716,402.4194914252239,0.2112319638468957,5.97792118719819,0.0072430334350393425,0.08639419139877527
G1,G2,cheb_d12,0.9591441717861393,376.94258922618144,0.09154507503084326,1.122796063803307,0.14465859238175482,0.08639419139877527
G1,G2,bernstein_d5,0.9676714594299476,793.8609702107555,0.9899476677678505,131.29717599513236,1.065898559888889e-30,0.08639419139877527
G1,G2,bernstein_d7,0.9666335796401633,823.1659840609309,0.9897311396344092,131.23974584156187,1.0971860618168992e-30,0.08639419139877527
G1,G2,bernstein_d9,0.957857322867279,429.68372226023246,0.30971921745544495,12.851896462133562,0.00016856869564499329,0.08639419139877527
G1,G2,bernstein_d12,0.9591441717861553,376.9425892261768,0.0915450750308422,1.122796063803281,0.14465859238175754,0.08639419139877527
G1,G2,spline_s0.5,0.9629626160503627,495.2677825861261,0.07463437732573472,0.7462919193727866,0.19382638823165121,0.08639419139877527
G1,G2,spline_s1,0.9595102439034965,377.76640843696595,0.057216365298606305,0.43860284320217036,0.253898787703555,0.08639419139877527
G1,G2,spline_s2,0.9680289225910362,740.4131477175064,0.9506141317647904,121.0708088697096,1.8436664165237378e-28,0.08639419139877527
G1,G2,cheb_d2,0.8762995221892446,6080.215716204726,0.9296355438639061,115.78608030606247,2.6471643725088596e-27,0.08639419139877527
G1,G2,cheb_d3,0.9642287908142033,1034.7809399135954,0.9045057444741587,109.61085623858044,5.962284127176467e-26,0.08639419139877527
G1,G2,cheb_d14,0.9570276270442907,373.0064634053646,0.13729554217173934,2.5254791324838735,0.0560103751862619,0.08639419139877527
G1,G2,cheb_d16,0.959698744324986,360.2473748645647,0.02285201850350105,0.0699648722706537,0.3956939664335509,0.08639419139877527
G1,G2,cheb_d20,0.9602684032861278,340.1204630420465,0.042559974115316104,0.24267979635529827,0.31113864454793,0.08639419139877527
G1,G2,spline_s0.25,0.9646937663031767,563.2045709885897,0.07346947702537766,0.7231773381358243,0.1975518291316442,0.08639419139877527
G1,G2,spline_s1.5,0.9612160799693513,427.28948523268144,0.2602356219326339,9.073281800308102,0.0012968558214162484,0.08639419139877527
