label,split,model,predictive_deviance
H2,0,pois_poly2,2006.6522472339666
H2,0,pois_poly3,613.1061915595255
H2,0,pois_poly5,533.1405527991906
H2,0,pois_poly7,495.10465322217567
H2,0,pois_poly9,357.5123885107575
H2,0,pois_poly12,326.26953396681597
H2,0,pois_poly16,325.4150879423263
H2,0,pois_poly20,320.59689268814236
H2,0,pspline_8_0.1,333.79958266065034
H2,0,pspline_8_1,340.88838412168786
H2,0,pspline_8_10,394.54062583356665
H2,0,pspline_8_100,504.5124359343135
H2,0,pspline_16_0.1,317.38838094247
H2,0,pspline_16_1,328.4612907757721
H2,0,pspline_16_10,343.3635387889361
H2,0,pspline_16_100,392.2588678881909
H2,0,pspline_24_0.1,328.7223857181825
H2,0,pspline_24_1,326.38809720576444
H2,0,pspline_24_10,336.26790628882674
H2,0,pspline_24_100,361.91928619795794
H2,0,pspline_40_0.1,342.6045657567513
H2,0,pspline_40_1,339.3049112457762
H2,0,pspline_40_10,335.3248023321554
H2,0,pspline_40_100,344.4668320096765
H2,0,cms_dijet_form,536.8218612040281
H2,0,local_0.15,338.9532768954156
H2,0,local_0.3,408.2041418551817
H2,0,local_0.5,518.9240102114173
H2,0,cheb_d5,535.3816317605379
H2,0,cheb_d6,507.60662162620304
H2,0,cheb_d7,504.115260403429
H2,0,cheb_d8,426.1046228681532
H2,0,cheb_d9,365.48406275669987
H2,0,cheb_d10,368.0245724691749
H2,0,cheb_d11,348.24890986470257
H2,0,cheb_d12,332.1333231583776
H2,0,bernstein_d5,535.381631760539
H2,0,bernstein_d7,504.1152604034294
H2,0,bernstein_d9,365.48406275669976
H2,0,bernstein_d12,332.1333231583804
H2,0,spline_s0.5,424.14728031972885
H2,0,spline_s1,343.76980291792063
H2,0,spline_s2,618.1467736341673
H2,0,cheb_d2,2214.2421942234405
H2,0,cheb_d3,618.1467736341666
H2,0,cheb_d14,331.9703603270382
H2,0,cheb_d16,334.47954236344947
H2,0,cheb_d20,330.5386815432378
H2,0,spline_s0.25,523.4543372364036
H2,0,spline_s1.5,484.6159280649666
H2,0,spline_s3.0,618.1467736341673
H2,0,spline_s4.0,618.1467736341673
H2,1,pois_poly2,1831.9657271015267
H2,1,pois_poly3,612.256337084503
H2,1,pois_poly5,536.3511389748626
H2,1,pois_poly7,526.4570955382518
H2,1,pois_poly9,371.3661217226745
H2,1,pois_poly12,352.7212495218604
H2,1,pois_poly16,355.1561232465933
H2,1,pois_poly20,350.5536580159533
H2,1,pspline_8_0.1,361.36891053665016
H2,1,pspline_8_1,369.91266032818726
H2,1,pspline_8_10,416.8790536994076
H2,1,pspline_8_100,499.81900576831356
H2,1,pspline_16_0.1,353.89054021694574
H2,1,pspline_16_1,358.4553954268668
H2,1,pspline_16_10,371.11810839984673
H2,1,pspline_16_100,408.6639391864444
H2,1,pspline_24_0.1,358.6791097630763
H2,1,pspline_24_1,355.26861942621315
H2,1,pspline_24_10,364.7594343668623
H2,1,pspline_24_100,385.65706906686137
H2,1,pspline_40_0.1,384.7326285179697
H2,1,pspline_40_1,374.23072911475015
H2,1,pspline_40_10,363.17764834450065
H2,1,pspline_40_100,372.78460381839295
H2,1,cms_dijet_form,538.9417675408511
H2,1,local_0.15,367.8620188702263
H2,1,local_0.3,425.97678063999933
H2,1,local_0.5,514.8294589796983
H2,1,cheb_d5,557.6258261204247
H2,1,cheb_d6,540.1356268086774
H2,1,cheb_d7,548.7339929074224
H2,1,cheb_d8,444.476791344233
H2,1,cheb_d9,374.9169036348568
H2,1,cheb_d10,379.20053805953705
H2,1,cheb_d11,374.2892559028393
H2,1,cheb_d12,354.81077945991353
H2,1,bernstein_d5,557.6258261204227
H2,1,bernstein_d7,548.7339929074212
H2,1,bernstein_d9,374.9169036348538
H2,1,bernstein_d12,354.8107794599092
H2,1,spline_s0.5,455.30524199584477
H2,1,spline_s1,367.9289521963587
H2,1,spline_s2,663.4551741757949
H2,1,cheb_d2,1988.0210889804926
H2,1,cheb_d3,663.4551741757953
H2,1,cheb_d14,349.996505137805
H2,1,cheb_d16,361.34600844997476
H2,1,cheb_d20,355.35561636267005
H2,1,spline_s0.25,544.2548433491336
H2,1,spline_s1.5,663.4551741757949
H2,1,spline_s3.0,663.4551741757949
H2,1,spline_s4.0,663.4551741757949
H2,2,pois_poly2,2015.5613553687924
H2,2,pois_poly3,648.8759760924489
H2,2,pois_poly5,546.001447599402
H2,2,pois_poly7,524.2140386113376
H2,2,pois_poly9,367.54417398954394
H2,2,pois_poly12,355.46228142939754
H2,2,pois_poly16,364.0423495066417
H2,2,pois_poly20,361.1861831081711
H2,2,pspline_8_0.1,355.6496976370638
H2,2,pspline_8_1,359.95421383329676
H2,2,pspline_8_10,415.40997348832144
H2,2,pspline_8_100,525.6702912870041
H2,2,pspline_16_0.1,363.09105373420795
H2,2,pspline_16_1,369.36447574931924
H2,2,pspline_16_10,367.1661829749514
H2,2,pspline_16_100,408.25244978439616
H2,2,pspline_24_0.1,376.16531510096667
H2,2,pspline_24_1,375.7009520742301
H2,2,pspline_24_10,373.21688849042056
H2,2,pspline_24_100,379.82907228105114
H2,2,pspline_40_0.1,387.67671572213953
H2,2,pspline_40_1,381.7212157415165
H2,2,pspline_40_10,381.46392791692983
H2,2,pspline_40_100,378.2678090284953
H2,2,cms_dijet_form,549.2878824774108
H2,2,local_0.15,361.6487684995726
H2,2,local_0.3,415.3659043932428
H2,2,local_0.5,501.74481422771373
H2,2,cheb_d5,534.5113179424595
H2,2,cheb_d6,519.8307365211051
H2,2,cheb_d7,514.906952532854
H2,2,cheb_d8,433.188827989119
H2,2,cheb_d9,362.31000969837294
H2,2,cheb_d10,362.1453341727952
H2,2,cheb_d11,346.0984083469512
H2,2,cheb_d12,348.0424287543116
H2,2,bernstein_d5,534.5113179424602
H2,2,bernstein_d7,514.9069525328557
H2,2,bernstein_d9,362.31000969837106
H2,2,bernstein_d12,348.04242875431765
H2,2,spline_s0.5,428.86102165334
H2,2,spline_s1,369.27683250088825
H2,2,spline_s2,636.2025084699937
H2,2,cheb_d2,2188.2325582896324
H2,2,cheb_d3,636.2025084699924
H2,2,cheb_d14,347.67302717602337
H2,2,cheb_d16,357.8567616700358
H2,2,cheb_d20,352.8649126295095
H2,2,spline_s0.25,468.0339553407513
H2,2,spline_s1.5,559.2677363750407
H2,2,spline_s3.0,636.2025084699937
H2,2,spline_s4.0,636.2025084699937
H2,3,pois_poly2,2030.6800089672154
H2,3,pois_poly3,613.9659210041574
H2,3,pois_poly5,519.7382469031445
H2,3,pois_poly7,509.6596604974099
H2,3,pois_poly9,354.51884544507794
H2,3,pois_poly12,330.2032583623426
H2,3,pois_poly16,333.1928746856434
H2,3,pois_poly20,330.5686772416585
H2,3,pspline_8_0.1,347.2220471351628
H2,3,pspline_8_1,354.76734884187573
H2,3,pspline_8_10,401.71523904840143
H2,3,pspline_8_100,499.14429230624523
H2,3,pspline_16_0.1,335.53711469265477
H2,3,pspline_16_1,341.3283700392605
H2,3,pspline_16_10,351.17655158663086
H2,3,pspline_16_100,391.43158023029224
H2,3,pspline_24_0.1,340.34559062456026
H2,3,pspline_24_1,337.63855743096417
H2,3,pspline_24_10,346.38496855229016
H2,3,pspline_24_100,365.6979938083135
H2,3,pspline_40_0.1,341.2808541573389
H2,3,pspline_40_1,337.0072609959454
H2,3,pspline_40_10,339.6001996798066
H2,3,pspline_40_100,352.8287054376242
H2,3,cms_dijet_form,521.1876484965784
H2,3,local_0.15,346.70559348283143
H2,3,local_0.3,409.62209086430414
H2,3,local_0.5,505.8460905631413
H2,3,cheb_d5,526.4255054570532
H2,3,cheb_d6,511.3692472223412
H2,3,cheb_d7,520.2869736715506
H2,3,cheb_d8,429.73362947811347
H2,3,cheb_d9,358.55619651928623
