mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
2.000000000000000000e+00,2.023533636003000069e+00,2.011732405665823009e+00,8.500000000000000000e+01,8.030111631727301358e+01,5.243652501803023336e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.023533636003000069e+00,2.047344188017761635e+00,2.035404094751013027e+00,6.900000000000000000e+01,8.268335247865987014e+01,-1.504816261831626090e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.047344188017761635e+00,2.071434914464595600e+00,2.059354324293456440e+00,8.200000000000000000e+01,8.480550926862085248e+01,-3.046489422522788426e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.071434914464595600e+00,2.095809112105053273e+00,2.083586371828019868e+00,7.000000000000000000e+01,8.665941718594415022e+01,-1.789583314920047963e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.095809112105053273e+00,2.120470116493079260e+00,2.108103553455725976e+00,8.100000000000000000e+01,8.824036196265154786e+01,-7.707732567489927744e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.120470116493079260e+00,2.145421302431473443e+00,2.132909224297555362e+00,1.080000000000000000e+02,8.954692266890540964e+01,1.950039771147821677e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.145421302431473443e+00,2.170666084433725995e+00,2.158006778953585947e+00,9.400000000000000000e+01,9.058075610838449165e+01,3.592626830350937883e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.170666084433725995e+00,2.196207917191286274e+00,2.183399651967536048e+00,9.100000000000000000e+01,9.134633874891544281e+01,-3.623727328608525311e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.196207917191286274e+00,2.222050296046329976e+00,2.209091318296776851e+00,7.500000000000000000e+01,9.185067732552019493e+01,-1.758232002995322452e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.222050296046329976e+00,2.248196757470086737e+00,2.235085293787868910e+00,9.200000000000000000e+01,9.210299876466291380e+01,-1.073235749666927134e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.248196757470086737e+00,2.274650879546800120e+00,2.261385135657700385e+00,8.000000000000000000e+01,9.211442928943350239e+01,-1.262231826555721970e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.274650879546800120e+00,2.301416282463379481e+00,2.287994442980282539e+00,8.200000000000000000e+01,9.189767155562239509e+01,-1.032477947131344553e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.301416282463379481e+00,2.328496629004814800e+00,2.314916857179274867e+00,1.040000000000000000e+02,9.146668751387400675e+01,1.310492054530132178e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.328496629004814800e+00,2.355895625055421050e+00,2.342156062526308258e+00,7.400000000000000000e+01,9.083639346194615882e+01,-1.766522303818670370e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.355895625055421050e+00,2.383617020105978757e+00,2.369715786645165245e+00,7.900000000000000000e+01,9.002237250292832016e+01,-1.161715694975550051e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.383617020105978757e+00,2.411664607766843993e+00,2.397599801021900845e+00,1.030000000000000000e+02,8.904060840928387677e+01,1.479355091896542573e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.411664607766843993e+00,2.440042226287095772e+00,2.425811921520958592e+00,9.700000000000000000e+01,8.790724374739417613e+01,9.698023173598795399e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.440042226287095772e+00,2.468753759079791443e+00,2.454356008907365272e+00,8.700000000000000000e+01,8.663836407132197337e+01,3.885227460775828728e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.468753759079791443e+00,2.497803135253402473e+00,2.483235969375066521e+00,9.800000000000000000e+01,8.524980906676475456e+01,1.380924646386859633e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.497803135253402473e+00,2.527194330149505674e+00,2.512455755081481446e+00,7.500000000000000000e+01,8.375701072725362906e+01,-9.568531637994532879e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.527194330149505674e+00,2.556931365886798257e+00,2.542019364688347327e+00,8.200000000000000000e+01,8.217485797811229986e+01,-1.928927795491080718e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.556931365886798257e+00,2.587018311911515323e+00,2.571930843908924125e+00,6.600000000000000000e+01,8.051758662730344440e+01,-1.617890226813801346e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.587018311911515323e+00,2.617459285554326165e+00,2.602194286061644934e+00,6.700000000000000000e+01,7.879869310938008198e+01,-1.329151230536112394e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.617459285554326165e+00,2.648258452593780454e+00,2.632813832630275908e+00,9.900000000000000000e+01,7.703087018944691522e+01,2.503112984353092596e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.648258452593780454e+00,2.679420027826386441e+00,2.663793673830668673e+00,8.900000000000000000e+01,7.522596259628990367e+01,1.588098301024485126e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.679420027826386441e+00,2.710948275643393579e+00,2.695138049184181650e+00,1.120000000000000000e+02,7.339494044447148724e+01,4.506207287318820143e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.710948275643393579e+00,2.742847510614370155e+00,2.726851248097849734e+00,8.400000000000000000e+01,7.154788827061499035e+01,1.472124697332920062e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.742847510614370155e+00,2.775122098077637212e+00,2.758937610451380973e+00,9.000000000000000000e+01,6.969400753594990761e+01,2.432352432469103931e+00,1.000000000000000000e+00,1.000000000000000000e+00
