omega,delta_chi2
3.100000000000000089e+00,4.727518452073004340e+01
3.176976976976976896e+00,4.477647396250866052e+01
3.253953953953954148e+00,4.093301628489950161e+01
3.330930930930930955e+00,3.608278721600540706e+01
3.407907907907908207e+00,3.064950436090361308e+01
3.484884884884885015e+00,2.506725066924422407e+01
3.561861861861862266e+00,1.971943104928818968e+01
3.638838838838839074e+00,1.490946058428635901e+01
3.715815815815815881e+00,1.086334234662999521e+01
3.792792792792793133e+00,7.751140010067961050e+00
3.869769769769769940e+00,5.710223720180163554e+00
3.946746746746747192e+00,4.857042561040210593e+00
4.023723723723724000e+00,5.282855062467988638e+00
4.100700700700700807e+00,7.038429692869239140e+00
4.177677677677677615e+00,1.011850629393179979e+01
4.254654654654654422e+00,1.445543832925140038e+01
4.331631631631632118e+00,1.992443624493477827e+01
4.408608608608608925e+00,2.635609052699591359e+01
4.485585585585585733e+00,3.355027764358685971e+01
4.562562562562562540e+00,4.128901865050328013e+01
4.639539539539539348e+00,4.935036081095591243e+01
4.716516516516517044e+00,5.752658706448647763e+01
4.793493493493493851e+00,6.564608658824965914e+01
4.870470470470470659e+00,7.359097837117008112e+01
4.947447447447448354e+00,8.129783021526969833e+01
5.024424424424424274e+00,8.873231429040701812e+01
5.101401401401401969e+00,9.584004208712049433e+01
5.178378378378378777e+00,1.024878240880714344e+02
5.255355355355355584e+00,1.084152631111268050e+02
5.332332332332333280e+00,1.132157869214482844e+02
5.409309309309309199e+00,1.163628020182752607e+02
5.486286286286286895e+00,1.172909885464423780e+02
5.563263263263263703e+00,1.155297572258523360e+02
5.640240240240240510e+00,1.108618641851621618e+02
5.717217217217218206e+00,1.034534462120174254e+02
5.794194194194194125e+00,9.389443759993248761e+01
5.871171171171171821e+00,8.311858142668513949e+01
5.948148148148148628e+00,7.222870821561393484e+01
6.025125125125125436e+00,6.229628643093064966e+01
6.102102102102103132e+00,5.420408772900888295e+01
6.179079079079079051e+00,4.856503947354251238e+01
6.256056056056056747e+00,4.571123456736353319e+01
6.333033033033033554e+00,4.572768849370007871e+01
6.410010010010010362e+00,4.850609694810393080e+01
6.486986986986988057e+00,5.380251139403199545e+01
6.563963963963963977e+00,6.128936211892822428e+01
6.640940940940941672e+00,7.059427037944911376e+01
6.717917917917918480e+00,8.131910502542370978e+01
6.794894894894895288e+00,9.303685358466785260e+01
6.871871871871872983e+00,1.052716740286985555e+02
6.948848848848848903e+00,1.174757567306455428e+02
