mass_low,mass_high,mass_center,count,background,residual,analysis_mask,background_fit_mask
2.000000000000000000e+00,2.023533636003000069e+00,2.011732405665823009e+00,3.600000000000000000e+01,3.730649618251124622e+01,-2.139025263900662110e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.023533636003000069e+00,2.047344188017761635e+00,2.035404094751013027e+00,3.800000000000000000e+01,3.804866608180416421e+01,-7.889630496538088331e-03,1.000000000000000000e+00,1.000000000000000000e+00
2.047344188017761635e+00,2.071434914464595600e+00,2.059354324293456440e+00,3.200000000000000000e+01,3.868105916813608758e+01,-1.074227186273799317e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.071434914464595600e+00,2.095809112105053273e+00,2.083586371828019868e+00,4.300000000000000000e+01,3.920430265695007677e+01,6.062122515590812055e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.095809112105053273e+00,2.120470116493079260e+00,2.108103553455725976e+00,4.500000000000000000e+01,3.962012643012160140e+01,8.547008602716879011e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.120470116493079260e+00,2.145421302431473443e+00,2.132909224297555362e+00,3.000000000000000000e+01,3.993124525844437045e+01,-1.571619035098568595e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.145421302431473443e+00,2.170666084433725995e+00,2.158006778953585947e+00,3.200000000000000000e+01,4.014123438230521401e+01,-1.284975645340129535e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.170666084433725995e+00,2.196207917191286274e+00,2.183399651967536048e+00,3.700000000000000000e+01,4.025440223321882627e+01,-5.129376034135582074e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.196207917191286274e+00,2.222050296046329976e+00,2.209091318296776851e+00,3.700000000000000000e+01,4.027566362837143288e+01,-5.161523939455021637e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.222050296046329976e+00,2.248196757470086737e+00,2.235085293787868910e+00,4.300000000000000000e+01,4.021041627924434181e+01,4.399163621893780185e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.248196757470086737e+00,2.274650879546800120e+00,2.261385135657700385e+00,3.500000000000000000e+01,4.006442294972135443e+01,-8.001115176986728361e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.274650879546800120e+00,2.301416282463379481e+00,2.287994442980282539e+00,3.900000000000000000e+01,3.984370110049786007e+01,-1.336622534869863765e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.301416282463379481e+00,2.328496629004814800e+00,2.314916857179274867e+00,3.500000000000000000e+01,3.955442138229921767e+01,-7.241619334767182004e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.328496629004814800e+00,2.355895625055421050e+00,2.342156062526308258e+00,3.700000000000000000e+01,3.920281590321738463e+01,-3.518192282826428929e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.355895625055421050e+00,2.383617020105978757e+00,2.369715786645165245e+00,4.000000000000000000e+01,3.879509680416316542e+01,1.934477738555075710e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.383617020105978757e+00,2.411664607766843993e+00,2.397599801021900845e+00,3.600000000000000000e+01,3.833738533619899869e+01,-3.775018376640380535e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.411664607766843993e+00,2.440042226287095772e+00,2.425811921520958592e+00,4.600000000000000000e+01,3.783565134648025463e+01,1.327305626270825378e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.440042226287095772e+00,2.468753759079791443e+00,2.454356008907365272e+00,3.900000000000000000e+01,3.729566284531634324e+01,2.790784785533242940e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.468753759079791443e+00,2.497803135253402473e+00,2.483235969375066521e+00,3.600000000000000000e+01,3.672294514315303360e+01,-1.192989420848188376e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.497803135253402473e+00,2.527194330149505674e+00,2.512455755081481446e+00,3.200000000000000000e+01,3.612274890933805693e+01,-6.859563634560698064e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.527194330149505674e+00,2.556931365886798257e+00,2.542019364688347327e+00,4.400000000000000000e+01,3.550002640968222778e+01,1.426603345951995561e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.556931365886798257e+00,2.587018311911515323e+00,2.571930843908924125e+00,3.500000000000000000e+01,3.485941512184256652e+01,2.381105075498618495e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.587018311911515323e+00,2.617459285554326165e+00,2.602194286061644934e+00,4.300000000000000000e+01,3.420522790098669930e+01,1.503759367625491228e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.617459285554326165e+00,2.648258452593780454e+00,2.632813832630275908e+00,4.100000000000000000e+01,3.354144886766583511e+01,1.287844898916917113e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.648258452593780454e+00,2.679420027826386441e+00,2.663793673830668673e+00,3.100000000000000000e+01,3.287173421018196962e+01,-3.264621750523147847e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.679420027826386441e+00,2.710948275643393579e+00,2.695138049184181650e+00,3.900000000000000000e+01,3.219941713023895602e+01,1.198456104946854284e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.710948275643393579e+00,2.742847510614370155e+00,2.726851248097849734e+00,3.100000000000000000e+01,3.152751620904773588e+01,-9.394873352357500929e-02,1.000000000000000000e+00,1.000000000000000000e+00
2.742847510614370155e+00,2.775122098077637212e+00,2.758937610451380973e+00,2.500000000000000000e+01,3.085874652757762604e+01,-1.054667512812954566e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.775122098077637212e+00,2.807776454737657801e+00,2.791401527191055720e+00,2.800000000000000000e+01,3.019553293611401301e+01,-3.995476742286760974e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.807776454737657801e+00,2.840815049269453496e+00,2.824247440930622854e+00,3.200000000000000000e+01,2.954002493204048818e+01,4.526111794230675001e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.840815049269453496e+00,2.874242402930129447e+00,2.857479846559255687e+00,2.400000000000000000e+01,2.889411266865930727e+01,-9.104776348660568175e-01,1.000000000000000000e+00,1.000000000000000000e+00
2.874242402930129447e+00,2.908063090177603005e+00,2.891103291856673252e+00,3.900000000000000000e+01,2.825944368020418196e+01,2.020435416596359612e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.908063090177603005e+00,2.942281739296602971e+00,2.925122378115488697e+00,3.400000000000000000e+01,2.763743996771066591e+01,1.210272002908140854e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.942281739296602971e+00,2.976903033032043400e+00,2.959541760770888708e+00,4.400000000000000000e+01,2.702931514617375797e+01,3.264238236582589270e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.976903033032043400e+00,3.011931709229845211e+00,2.994366150037718999e+00,7.000000000000000000e+01,2.643609140483351183e+01,8.472824595680448212e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.011931709229845211e+00,3.047372561485299780e+00,3.029600311555065595e+00,1.580000000000000000e+02,2.585861607912954341e+01,2.598580719020261753e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.047372561485299780e+00,3.083230439799062861e+00,3.065249067038422037e+00,4.440000000000000000e+02,2.529757767471540575e+01,8.324650406976877548e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.083230439799062861e+00,3.119510251240863674e+00,3.101317294939531344e+00,6.550000000000000000e+02,2.475352122093485008e+01,1.266752979961877514e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.119510251240863674e+00,3.156216960621028633e+00,3.137809931113989315e+00,2.950000000000000000e+02,2.422686286348181284e+01,5.501194323281077203e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.156216960621028633e+00,3.193355591169904972e+00,3.174731969496707773e+00,8.300000000000000000e+01,2.371790363382817191e+01,1.217265751099216864e+01,0.000000000000000000e+00,0.000000000000000000e+00
3.193355591169904972e+00,3.230931225225274428e+00,3.212088462785320342e+00,4.300000000000000000e+01,2.322684235670521602e+01,4.102805628677698380e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.230931225225274428e+00,3.268949004927863999e+00,3.249884523131633784e+00,2.100000000000000000e+01,2.275378767680590286e+01,-3.676632005989542429e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.268949004927863999e+00,3.307414132925035055e+00,3.288125322841215503e+00,2.300000000000000000e+01,2.229876920229504123e+01,1.484979764275945191e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.307414132925035055e+00,3.346331873082753372e+00,3.326816095081211788e+00,2.000000000000000000e+01,2.186174777603708463e+01,-3.981790480833950485e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.346331873082753372e+00,3.385707551205937360e+00,3.365962134596494071e+00,1.500000000000000000e+01,2.144262489603852373e+01,-1.391309890062322641e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.385707551205937360e+00,3.425546555767282175e+00,3.405568798434231770e+00,1.700000000000000000e+01,2.104125131479802135e+01,-8.810084566088314251e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.425546555767282175e+00,3.465854338644661414e+00,3.445641506676994759e+00,1.700000000000000000e+01,2.065743485338942875e+01,-8.047081563434340667e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.465854338644661414e+00,3.506636415867202761e+00,3.486185743184477825e+00,1.000000000000000000e+01,2.029094747047235714e+01,-2.284568572167547273e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.506636415867202761e+00,3.547898368370145050e+00,3.527207056343954150e+00,1.100000000000000000e+01,1.994153162930744116e+01,-2.002316200957414694e+00,1.000000000000000000e+00,1.000000000000000000e+00
3.547898368370145050e+00,3.589645842758575789e+00,3.568711059829560384e+00,1.300000000000000000e+01,1.960890600749805301e+01,-1.492460662132255589e+00,0.000000000000000000e+00,0.000000000000000000e+00
