omega,delta_chi2
3.100000000000000089e+00,4.545584348002195441e+01
3.176976976976976896e+00,4.223105659014792934e+01
3.253953953953954148e+00,3.799641179188405005e+01
3.330930930930930955e+00,3.322137403682251033e+01
3.407907907907908207e+00,2.838169060789568121e+01
3.484884884884885015e+00,2.385714337976712329e+01
3.561861861861862266e+00,1.986856935159371318e+01
3.638838838838839074e+00,1.646893131339001215e+01
3.715815815815815881e+00,1.358196896628233397e+01
3.792792792792793133e+00,1.106950084694684833e+01
3.869769769769769940e+00,8.805043355612507838e+00
3.946746746746747192e+00,6.732440223944373692e+00
4.023723723723724000e+00,4.892217896232475383e+00
4.100700700700700807e+00,3.407963257863915185e+00
4.177677677677677615e+00,2.440244000298384286e+00
4.254654654654654422e+00,2.129310838679303153e+00
4.331631631631632118e+00,2.550794985899641265e+00
4.408608608608608925e+00,3.699455020094343460e+00
4.485585585585585733e+00,5.502634691115473764e+00
4.562562562562562540e+00,7.855823631649226257e+00
4.639539539539539348e+00,1.066911908969535361e+01
4.716516516516517044e+00,1.391195614839008243e+01
4.793493493493493851e+00,1.764200242168531574e+01
4.870470470470470659e+00,2.200514928048819741e+01
4.947447447447448354e+00,2.720129156587811536e+01
5.024424424424424274e+00,3.342404403115853029e+01
5.101401401401401969e+00,4.079331360004165674e+01
5.178378378378378777e+00,4.929986877163621273e+01
5.255355355355355584e+00,5.877250561732304845e+01
5.332332332332333280e+00,6.887048662174511549e+01
5.409309309309309199e+00,7.910312842491681806e+01
5.486286286286286895e+00,8.888215505164119179e+01
5.563263263263263703e+00,9.761173813470031746e+01
5.640240240240240510e+00,1.048083015758133598e+02
5.717217217217218206e+00,1.102193713516093680e+02
5.794194194194194125e+00,1.138940143050814413e+02
5.871171171171171821e+00,1.161665664821240682e+02
5.948148148148148628e+00,1.175525844709833621e+02
6.025125125125125436e+00,1.185972442165771099e+02
6.102102102102103132e+00,1.197329359947340208e+02
6.179079079079079051e+00,1.211887684422887901e+02
6.256056056056056747e+00,1.229675176799830467e+02
6.333033033033033554e+00,1.248835768929990451e+02
6.410010010010010362e+00,1.266434596629648297e+02
6.486986986986988057e+00,1.279440483526132937e+02
6.563963963963963977e+00,1.285604205454133080e+02
6.640940940940941672e+00,1.283976573674075610e+02
6.717917917917918480e+00,1.274929208221321630e+02
6.794894894894895288e+00,1.259724699045466423e+02
6.871871871871872983e+00,1.239843514232237283e+02
6.948848848848848903e+00,1.216335185259723914e+02
7.025825825825826598e+00,1.189411968270581070e+02
7.102802802802804294e+00,1.158391172893576027e+02
7.179779779779780213e+00,1.121970482019104765e+02
7.256756756756757909e+00,1.078720912454487859e+02
7.333733733733733828e+00,1.027623667702092973e+02
7.410710710710711524e+00,9.684762840142917639e+01
7.487687687687689220e+00,9.020538273555317232e+01
7.564664664664665139e+00,8.300082006286733360e+01
7.641641641641642835e+00,7.545773545007756411e+01
7.718618618618618754e+00,6.782189604502885061e+01
7.795595595595596450e+00,6.032740063983426637e+01
7.872572572572574146e+00,5.317263888672615479e+01
7.949549549549550065e+00,4.650816709881487299e+01
8.026526526526527761e+00,4.043564001947563469e+01
8.103503503503503680e+00,3.501499060041553690e+01
8.180480480480481376e+00,3.027596755090115721e+01
8.257457457457459071e+00,2.622981242571458438e+01
8.334434434434434991e+00,2.287745540605754613e+01
8.411411411411412686e+00,2.021215060188676915e+01
8.488388388388388606e+00,1.821654968921540529e+01
8.565365365365366301e+00,1.685616063299250555e+01
8.642342342342343997e+00,1.607237698845972318e+01
8.719319319319319916e+00,1.577847199027387326e+01
8.796296296296297612e+00,1.586106231672804512e+01
8.873273273273273531e+00,1.618776741662220076e+01
8.950250250250251227e+00,1.661968047854994524e+01
9.027227227227228923e+00,1.702564189089655144e+01
9.104204204204204842e+00,1.729485397379036371e+01
9.181181181181182538e+00,1.734522498945643321e+01
9.258158158158158457e+00,1.712646076004642026e+01
9.335135135135136153e+00,1.661852520692857382e+01
9.412112112112113849e+00,1.582706409054772934e+01
9.489089089089089768e+00,1.477757921600994528e+01
9.566066066066067464e+00,1.350976528228209439e+01
9.643043043043043383e+00,1.207280769304846757e+01
9.720020020020021079e+00,1.052184600319336738e+01
9.796996996996998774e+00,8.915366808676546739e+00
9.873973973973974694e+00,7.313041554565735680e+00
9.950950950950952389e+00,5.773469584245997765e+00
1.002792792792792831e+01,4.351417134497404859e+00
1.010490490490490600e+01,3.094439803669486011e+00
1.018188188188188370e+01,2.039181368710883291e+00
1.025885885885885962e+01,1.208033781352509939e+00
1.033583583583583732e+01,6.070504373691960609e-01
1.041281281281281323e+01,2.258829233791502800e-01
1.048978978978979093e+01,4.004781112456261283e-02
1.056676676676676863e+01,1.519179399796797073e-02
1.064374374374374455e+01,1.124821526361087787e-01
1.072072072072072224e+01,2.940209413717653208e-01
1.079769769769769816e+01,5.273046491023625215e-01
1.087467467467467586e+01,7.881005548080711742e-01
1.095165165165165355e+01,1.061510830375657077e+00
1.102862862862862947e+01,1.341331229377911605e+00
1.110560560560560717e+01,1.628057653772213342e+00
1.118258258258258309e+01,1.926065407276989827e+00
1.125955955955956078e+01,2.240575941772397162e+00
1.133653653653653670e+01,2.574996929850303484e+00
1.141351351351351440e+01,2.929052098695935413e+00
1.149049049049049209e+01,3.297851653460053267e+00
1.156746746746746801e+01,3.671795664851700280e+00
1.164444444444444571e+01,4.037051590304624682e+00
1.172142142142142163e+01,4.376339615504790892e+00
1.179839839839839932e+01,4.669859850790937017e+00
1.187537537537537702e+01,4.896332717530774481e+00
1.195235235235235294e+01,5.034235563564073423e+00
1.202932932932933063e+01,5.063370307805618253e+00
1.210630630630630655e+01,4.966878045551522014e+00
1.218328328328328425e+01,4.733726400593740280e+00
1.226026026026026194e+01,4.361536247148370293e+00
1.233723723723723786e+01,3.859398636514168146e+00
1.241421421421421556e+01,3.250101571193092731e+00
1.249119119119119148e+01,2.571024968534146637e+00
1.256816816816816917e+01,1.872988952091494186e+00
1.264514514514514687e+01,1.216652747653191868e+00
1.272212212212212279e+01,6.666523923950921082e-01
1.279909909909910048e+01,2.843686440896300294e-01
1.287607607607607640e+01,1.207436337202482252e-01
1.295305305305305410e+01,2.106502384260377225e-01
1.303003003003003180e+01,5.698831756345181798e-01
1.310700700700700772e+01,1.195052202031113842e+00
1.318398398398398541e+01,2.065832828790309605e+00
1.326096096096096133e+01,3.148467726415791645e+00
1.333793793793793903e+01,4.399273554803063035e+00
1.341491491491491672e+01,5.767196127917907589e+00
1.349189189189189264e+01,7.195056417003313776e+00
1.356886886886887034e+01,8.619853288116114953e+00
