label,degree,order,n,amplitude,se,delta2logL,positive_score
H2,7,80,21856,0.14209308992008213,0.010375670312862002,188.45118824968085,188.45118824968085
H2,7,160,21856,0.14209308992008113,0.010375670312861976,188.45118824968085,188.45118824968085
H2,12,80,21856,-0.030790616841087325,0.02108852231050557,2.129101816128241,0.0
H2,12,160,21856,-0.030790616841057692,0.021088522310505453,2.1291018161500688,0.0
H2,16,80,21856,-0.12989591207128867,0.18537833269943352,0.49089567016926594,0.0
H2,16,160,21856,-0.12989591207132145,0.1853783326994483,0.4908956701401621,0.0
G1,7,80,20890,0.14354858832108602,0.010649307760202651,182.52831648758,182.52831648758
G1,7,160,20890,0.14354858832108455,0.010649307760202634,182.5283164875509,182.5283164875509
G1,12,80,20890,3.99273560724229e-05,0.022173301890639516,3.242501406930387e-06,3.242501406930387e-06
G1,12,160,20890,3.992735610065983e-05,0.022173301890639367,3.242457751184702e-06,3.242457751184702e-06
G1,16,80,20890,0.1069133575376261,0.1909969978979514,0.31338789694564184,0.31338789694564184
G1,16,160,20890,0.10691335753760098,0.19099699789794786,0.3133878969892976,0.3133878969892976
G2,7,80,20317,0.14869280872211285,0.010793224273818961,190.74848867938272,190.74848867938272
G2,7,160,20317,0.1486928087221107,0.010793224273818933,190.74848867936817,190.74848867936817
G2,12,80,20317,-0.030987450370678033,0.02241953252731367,1.90800233099435,0.0
G2,12,160,20317,-0.03098745037064957,0.022419532527313497,1.9080023310016259,0.0
G2,16,80,20317,0.3049480229742769,0.193400718876781,2.487728847649123,2.487728847649123
G2,16,160,20317,0.3049480229741996,0.19340071887677082,2.487728847627295,2.487728847627295
